Level 5	Level 4	Level 3	Level 2	Level 1	Level 5	Level 4	Level 3	Level 2	Level 1	
37	AnteriorCoronaRadiataLeft	CoronaRadiataLeft	ProjectionLeft	HemisphereWMLeft	WMLeft	AnteriorCoronaRadiataLeft	CoronaRadiataLeft	ProjectionLeft	HemisphereWMLeft	WMLeft
38	SuperiorCoronaRadiataLeft	CoronaRadiataLeft	ProjectionLeft	HemisphereWMLeft	WMLeft	SuperiorCoronaRadiataLeft	CoronaRadiataLeft	ProjectionLeft	HemisphereWMLeft	WMLeft
39	PosteriorCoronaRadiataLeft	CoronaRadiataLeft	ProjectionLeft	HemisphereWMLeft	WMLeft	PosteriorCoronaRadiataLeft	CoronaRadiataLeft	ProjectionLeft	HemisphereWMLeft	WMLeft
40	CingulumLeft	cingulumLeft	limbicLeft	HemisphereWMLeft	WMLeft	CingulumLeft	cingulumLeft	limbicLeft	HemisphereWMLeft	WMLeft
41	CingulumHippocampalLeft	cingulumLeft	limbicLeft	HemisphereWMLeft	WMLeft	CingulumHippocampalLeft	cingulumLeft	limbicLeft	HemisphereWMLeft	WMLeft
42	FornixStriaTerminalisLeft	limbicLeft	limbicLeft	HemisphereWMLeft	WMLeft	FornixStriaTerminalisLeft	limbicLeft	limbicLeft	HemisphereWMLeft	WMLeft
43	SuperiorLongitudinalFasciculusLeft	AssociationLeft	AssociationLeft	HemisphereWMLeft	WMLeft	SuperiorLongitudinalFasciculusLeft	AssociationLeft	AssociationLeft	HemisphereWMLeft	WMLeft
44	SuperiorFronto-occipitalFasciculusLeft	AssociationLeft	AssociationLeft	HemisphereWMLeft	WMLeft	SuperiorFronto-occipitalFasciculusLeft	AssociationLeft	AssociationLeft	HemisphereWMLeft	WMLeft
45	InferiorFronto-occipitalFasciculusLeft	AssociationLeft	AssociationLeft	HemisphereWMLeft	WMLeft	InferiorFronto-occipitalFasciculusLeft	AssociationLeft	AssociationLeft	HemisphereWMLeft	WMLeft
46	SagittalStratumLeft	AssociationLeft	AssociationLeft	HemisphereWMLeft	WMLeft	SagittalStratumLeft	AssociationLeft	AssociationLeft	HemisphereWMLeft	WMLeft
47	ExternalCapsuleLeft	AssociationLeft	AssociationLeft	HemisphereWMLeft	WMLeft	ExternalCapsuleLeft	AssociationLeft	AssociationLeft	HemisphereWMLeft	WMLeft
48	UncinateFasciculusLeft	AssociationLeft	AssociationLeft	HemisphereWMLeft	WMLeft	UncinateFasciculusLeft	AssociationLeft	AssociationLeft	HemisphereWMLeft	WMLeft
49	PontineCrossingTractLeft	corticofula-cerebellarLeft	CerebellarWMLeft	CerebellarWMLeft	WMLeft	PontineCrossingTractLeft	corticofula-cerebellarLeft	CerebellarWMLeft	CerebellarWMLeft	WMLeft
50	MiddleCerebellarPeduncleLeft	corticofula-cerebellarLeft	CerebellarWMLeft	CerebellarWMLeft	WMLeft	MiddleCerebellarPeduncleLeft	corticofula-cerebellarLeft	CerebellarWMLeft	CerebellarWMLeft	WMLeft
51	FornixLeft	limbicLeft	limbicLeft	HemisphereWMLeft	WMLeft	FornixLeft	limbicLeft	limbicLeft	HemisphereWMLeft	WMLeft
52	GenuCorpusCallosumLeft	CommissureLeft	CommissureLeft	HemisphereWMLeft	WMLeft	GenuCorpusCallosumLeft	CommissureLeft	CommissureLeft	HemisphereWMLeft	WMLeft
53	BodyCorpusCallosumLeft	CommissureLeft	CommissureLeft	HemisphereWMLeft	WMLeft	BodyCorpusCallosumLeft	CommissureLeft	CommissureLeft	HemisphereWMLeft	WMLeft
54	SpleniumCorpusCallosumLeft	CommissureLeft	CommissureLeft	HemisphereWMLeft	WMLeft	SpleniumCorpusCallosumLeft	CommissureLeft	CommissureLeft	HemisphereWMLeft	WMLeft
55	RetrolenticularInternalCapsuleLeft	InternalCapsuleLeft	ProjectionLeft	HemisphereWMLeft	WMLeft	RetrolenticularInternalCapsuleLeft	InternalCapsuleLeft	ProjectionLeft	HemisphereWMLeft	WMLeft
56	RedNc_L	midbrain_L	midbrain_L	midbrain	Brainstem	RedNc_L	midbrain_L	midbrain_L	midbrain	Brainstem
57	Snigra_L	midbrain_L	midbrain_L	midbrain	Brainstem	Snigra_L	midbrain_L	midbrain_L	midbrain	Brainstem
58	TapatumLeft	CommissureLeft	CommissureLeft	HemisphereWMLeft	WMLeft	TapatumLeft	CommissureLeft	CommissureLeft	HemisphereWMLeft	WMLeft
59	Caud_L	Striatum_L	BasalGang_L	CerebralNucli_L	CerebralNucli_L	Caud_L	Striatum_L	BasalGang_L	CerebralNucli_L	CerebralNucli_L
60	Put_L	Striatum_L	BasalGang_L	CerebralNucli_L	CerebralNucli_L	Put_L	Striatum_L	BasalGang_L	CerebralNucli_L	CerebralNucli_L
61	Thalamus_L	Thalamus_L	Thalamus_L	Thalamus_L	CerebralNucli_L	Thalamus_L	Thalamus_L	Thalamus_L	Thalamus_L	CerebralNucli_L
62	GP_L	GP_L	BasalGang_L	CerebralNucli_L	CerebralNucli_L	GP_L	GP_L	BasalGang_L	CerebralNucli_L	CerebralNucli_L
63	Midbrain_L	midbrain_L	midbrain_L	midbrain	Brainstem	Midbrain_L	midbrain_L	midbrain_L	midbrain	Brainstem
64	Reticularformationleft	Reticularformationleft	Reticularformationleft	Reticularformationleft	Brainstem	Reticularformationleft	Reticularformationleft	Reticularformationleft	Reticularformationleft	Brainstem
65	Medulla_L	Medulla_L	Medulla_L	Brainstem_L	Brainstem	Medulla_L	Medulla_L	Medulla_L	Brainstem_L	Brainstem
66	SPG_R	SPG_R	Parietal_R	CerebralCortex_R	CerebralCortex_R	SPG_R	SPG_R	Parietal_R	CerebralCortex_R	CerebralCortex_R
67	Cingulate_R	Cingulate_R	Limbic_R	CerebralCortex_R	CerebralCortex_R	Cingulate_R	Cingulate_R	Limbic_R	CerebralCortex_R	CerebralCortex_R
68	SFG_R	SFG_R	Frontal_R	CerebralCortex_R	CerebralCortex_R	SFG_R	SFG_R	Frontal_R	CerebralCortex_R	CerebralCortex_R
69	MFG_R	MFG_R	Frontal_R	CerebralCortex_R	CerebralCortex_R	MFG_R	MFG_R	Frontal_R	CerebralCortex_R	CerebralCortex_R
70	IFG_R	IFG_R	Frontal_R	CerebralCortex_R	CerebralCortex_R	IFG_R	IFG_R	Frontal_R	CerebralCortex_R	CerebralCortex_R
71	PrCG_R	PrCG_R	Frontal_R	CerebralCortex_R	CerebralCortex_R	PrCG_R	PrCG_R	Frontal_R	CerebralCortex_R	CerebralCortex_R
72	PoCG_R	PoCG_R	Parietal_R	CerebralCortex_R	CerebralCortex_R	PoCG_R	PoCG_R	Parietal_R	CerebralCortex_R	CerebralCortex_R
73	AG_R	AG_R	Parietal_R	CerebralCortex_R	CerebralCortex_R	AG_R	AG_R	Parietal_R	CerebralCortex_R	CerebralCortex_R
74	PrCu_R	PrCu_R	Parietal_R	CerebralCortex_R	CerebralCortex_R	PrCu_R	PrCu_R	Parietal_R	CerebralCortex_R	CerebralCortex_R
75	Cu_R	Cu_R	Occipital_R	CerebralCortex_R	CerebralCortex_R	Cu_R	Cu_R	Occipital_R	CerebralCortex_R	CerebralCortex_R
76	LG_R	LG_R	Occipital_R	CerebralCortex_R	CerebralCortex_R	LG_R	LG_R	Occipital_R	CerebralCortex_R	CerebralCortex_R
77	FuG_R	FuG_R	Temporal_R	CerebralCortex_R	CerebralCortex_R	FuG_R	FuG_R	Temporal_R	CerebralCortex_R	CerebralCortex_R
78	PHG_R	Limbic_R	Limbic_R	CerebralCortex_R	CerebralCortex_R	PHG_R	Limbic_R	Limbic_R	CerebralCortex_R	CerebralCortex_R
79	SOG_R	SOG_R	Occipital_R	CerebralCortex_R	CerebralCortex_R	SOG_R	SOG_R	Occipital_R	CerebralCortex_R	CerebralCortex_R
80	IOG_R	IOG_R	Occipital_R	CerebralCortex_R	CerebralCortex_R	IOG_R	IOG_R	Occipital_R	CerebralCortex_R	CerebralCortex_R
81	MOG_R	MOG_R	Occipital_R	CerebralCortex_R	CerebralCortex_R	MOG_R	MOG_R	Occipital_R	CerebralCortex_R	CerebralCortex_R
82	ENT_R	Limbic_R	Limbic_R	CerebralCortex_R	CerebralCortex_R	ENT_R	Limbic_R	Limbic_R	CerebralCortex_R	CerebralCortex_R
83	STG_R	STG_R	Temporal_R	CerebralCortex_R	CerebralCortex_R	STG_R	STG_R	Temporal_R	CerebralCortex_R	CerebralCortex_R
84	ITG_R	ITG_R	Temporal_R	CerebralCortex_R	CerebralCortex_R	ITG_R	ITG_R	Temporal_R	CerebralCortex_R	CerebralCortex_R
85	MTG_R	MTG_R	Temporal_R	CerebralCortex_R	CerebralCortex_R	MTG_R	MTG_R	Temporal_R	CerebralCortex_R	CerebralCortex_R
86	LFOG_R	OG_R	Frontal_R	CerebralCortex_R	CerebralCortex_R	LFOG_R	OG_R	Frontal_R	CerebralCortex_R	CerebralCortex_R
87	MFOG_R	OG_R	Frontal_R	CerebralCortex_R	CerebralCortex_R	MFOG_R	OG_R	Frontal_R	CerebralCortex_R	CerebralCortex_R
88	SMG_R	SMG_R	Parietal_R	CerebralCortex_R	CerebralCortex_R	SMG_R	SMG_R	Parietal_R	CerebralCortex_R	CerebralCortex_R
89	RG_R	RG_R	Frontal_R	CerebralCortex_R	CerebralCortex_R	RG_R	RG_R	Frontal_R	CerebralCortex_R	CerebralCortex_R
90	Insula_R	Insula_R	Insula_R	CerebralCortex_R	CerebralCortex_R	Insula_R	Insula_R	Insula_R	CerebralCortex_R	CerebralCortex_R
91	Amyg_R	Amyg_R	Amyg_R	CerebralNucli_R	CerebralNucli_R	Amyg_R	Amyg_R	Amyg_R	CerebralNucli_R	CerebralNucli_R
92	Hippo_R	Hippo_R	Limbic_R	CerebralCortex_R	CerebralCortex_R	Hippo_R	Hippo_R	Limbic_R	CerebralCortex_R	CerebralCortex_R
93	CerebellarGM_R	CerebellarGM_R	CerebellarGM_R	CerebellarGM_R	CerebellarGM_R	CerebellarGM_R	CerebellarGM_R	CerebellarGM_R	CerebellarGM_R	CerebellarGM_R
94	CorticospinalTractRight	CorticofugalRight	CorticofugalRight	BrainstemWMRight	WMRight	CorticospinalTractRight	CorticofugalRight	CorticofugalRight	BrainstemWMRight	WMRight
95	InferiorCerebellarPeduncleRight	CerebellarWMRight	CerebellarWMRight	CerebellarWMRight	WMRight	InferiorCerebellarPeduncleRight	CerebellarWMRight	CerebellarWMRight	CerebellarWMRight	WMRight
96	MedialLemniscusRight	Sensory	Sensory	BrainstemWMRight	WMRight	MedialLemniscusRight	Sensory	Sensory	BrainstemWMRight	WMRight
97	SuperiorCerebellarPeduncleRight	CerebellarWMRight	CerebellarWMRight	CerebellarWMRight	WMRight	SuperiorCerebellarPeduncleRight	CerebellarWMRight	CerebellarWMRight	CerebellarWMRight	WMRight
98	CerebralPeduncleRight	CorticofugalRight	CorticofugalRight	BrainstemWMRight	WMRight	CerebralPeduncleRight	CorticofugalRight	CorticofugalRight	BrainstemWMRight	WMRight
99	AnteriorLimbInternalCapsuleRight	InternalCapsuleRight	ProjectionRight	HemisphereWMRight	WMRight	AnteriorLimbInternalCapsuleRight	InternalCapsuleRight	ProjectionRight	HemisphereWMRight	WMRight
100	PosteriorLimbInternalCapsuleRight	InternalCapsuleRight	ProjectionRight	HemisphereWMRight	WMRight	PosteriorLimbInternalCapsuleRight	InternalCapsuleRight	ProjectionRight	HemisphereWMRight	WMRight
101	PosteriorThalamicRadiationRight	CoronaRadiataRight	ProjectionRight	HemisphereWMRight	WMRight	PosteriorThalamicRadiationRight	CoronaRadiataRight	ProjectionRight	HemisphereWMRight	WMRight
102	AnteriorCoronaRadiataRight	CoronaRadiataRight	ProjectionRight	HemisphereWMRight	WMRight	AnteriorCoronaRadiataRight	CoronaRadiataRight	ProjectionRight	HemisphereWMRight	WMRight
