Level 5	Level 4	Level 3	Level 2	Level 1	Level 5	Level 4	Level 3	Level 2	Level 1	
155	LVL_occipitalLeft	LVL_occipitalLeft	VentricleLeft	Ventricle	Ventricle	LVL_atriumLeft	LVL_occipitalLeft	VentricleLeft	Ventricle	Ventricle
156	LVL_occipitalRight	LVL_occipitalRight	VentricleRight	Ventricle	Ventricle	LVL_atriumRight	LVL_occipitalRight	VentricleRight	Ventricle	Ventricle
157	LVL_temporalLeft	LVL_temporalLeft	VentricleLeft	Ventricle	Ventricle	LVL_temporalLeft	LVL_temporalLeft	VentricleLeft	Ventricle	Ventricle
158	LVL_temporalRight	LVL_temporalRight	VentricleRight	Ventricle	Ventricle	LVL_temporalRight	LVL_temporalRight	VentricleRight	Ventricle	Ventricle
159	IIIandIVventricle	IIIandIVventricle	IIIandIVventricle	Ventricle	Ventricle	IIIandIVventricle	IIIandIVventricle	IIIandIVventricle	Ventricle	Ventricle
160	SLF-tLeft	AssociationLeft	AssociationLeft	HemisphereWMLeft	WMLeft	SLF-tLeft	AssociationLeft	AssociationLeft	HemisphereWMLeft	WMLeft
161	SLF-tRight	AssociationRight	AssociationRight	HemisphereWMRight	WMRight	SLF-tRight	AssociationRight	AssociationRight	HemisphereWMRight	WMRight
162	ICP-cerebellumLeft	CerebellarWMLeft	CerebellarWMLeft	CerebellarWMLeft	WMLeft	ICP-cerebellumLeft	CerebellarWMLeft	CerebellarWMLeft	CerebellarWMLeft	WMLeft
163	ICP-cerebellumRight	CerebellarWMRight	CerebellarWMRight	CerebellarWMRight	WMRight	ICP-cerebellumRight	CerebellarWMRight	CerebellarWMRight	CerebellarWMRight	WMRight
164	CerebellumBranch-ALeft	CerebellarPeripheralWMLeft	CerebellarWMLeft	CerebellarWMLeft	WMLeft	CerebellumBranch-ALeft	CerebellarPeripheralWMLeft	CerebellarWMLeft	CerebellarWMLeft	WMLeft
165	CerebellumBranch-ARight	CerebellarPeripheralWMRight	CerebellarWMRight	CerebellarWMRight	WMRight	CerebellumBranch-ARight	CerebellarPeripheralWMRight	CerebellarWMRight	CerebellarWMRight	WMRight
166	CerebellumBranch-BLeft	CerebellarPeripheralWMLeft	CerebellarWMLeft	CerebellarWMLeft	WMLeft	CerebellumBranch-BLeft	CerebellarPeripheralWMLeft	CerebellarWMLeft	CerebellarWMLeft	WMLeft
167	CerebellumBranch-BRight	CerebellarPeripheralWMRight	CerebellarWMRight	CerebellarWMRight	WMRight	CerebellumBranch-BRight	CerebellarPeripheralWMRight	CerebellarWMRight	CerebellarWMRight	WMRight
168	CSF	CSF	CSF	CSF	CSF	CSF	CSF	CSF	CSF	CSF
169	CavumSeptumPellucidum	CavumSeptumPellucidum	Ventricle	Ventricle	Ventricle	CavumSeptumPellucidum	CavumSeptumPellucidum	Ventricle	Ventricle	Ventricle
170	Unused  xxxx									
